Feature,Subgenome
Zm00001d018986,maize1
Zm00001d044304,maize1
Zm00001d022527,maize1
Zm00001d039411,maize1
Zm00001d027967,maize1
Zm00001d033503,maize1
Zm00001d029516,maize1
Zm00001d003966,maize1
Zm00001d034361,maize1
Zm00001d042237,maize1
Zm00001d003341,maize1
Zm00001d003342,maize1
Zm00001d031878,maize1
Zm00001d035020,maize1
Zm00001d030047,maize1
Zm00001d030976,maize1
Zm00001d031272,maize1
Zm00001d034481,maize1
Zm00001d038654,maize1
Zm00001d039064,maize1
Zm00001d045802,maize1
Zm00001d038332,maize1
Zm00001d021596,maize1
Zm00001d046438,maize1
Zm00001d033569,maize1
Zm00001d034859,maize1
Zm00001d002126,maize1
Zm00001d049077,maize1
Zm00001d014770,maize1
Zm00001d032666,maize1
Zm00001d045374,maize1
Zm00001d039328,maize1
Zm00001d044027,maize1
Zm00001d037605,maize1
Zm00001d022055,maize1
Zm00001d032048,maize1
Zm00001d038975,maize1
Zm00001d018073,maize1
Zm00001d015049,maize1
Zm00001d015043,maize1
Zm00001d042354,maize1
Zm00001d027897,maize1
Zm00001d042226,maize1
Zm00001d042964,maize1
Zm00001d015247,maize1
Zm00001d031562,maize1
Zm00001d044548,maize1
Zm00001d043309,maize1
Zm00001d045238,maize1
Zm00001d045240,maize1
Zm00001d045241,maize1
Zm00001d035614,maize1
Zm00001d032739,maize1
Zm00001d044164,maize1
Zm00001d027686,maize1
Zm00001d027687,maize1
Zm00001d042760,maize1
Zm00001d040697,maize1
Zm00001d045853,maize1
Zm00001d015311,maize1
Zm00001d024465,maize1
Zm00001d032000,maize1
Zm00001d028688,maize1
Zm00001d045486,maize1
Zm00001d030346,maize1
Zm00001d033573,maize1
Zm00001d020644,maize1
Zm00001d020009,maize1
Zm00001d035442,maize1
Zm00001d042289,maize1
Zm00001d042286,maize1
Zm00001d042285,maize1
Zm00001d038358,maize1
Zm00001d049271,maize1
Zm00001d024572,maize1
Zm00001d024573,maize1
Zm00001d031127,maize1
Zm00001d014556,maize1
Zm00001d017782,maize1
Zm00001d029086,maize1
Zm00001d043203,maize1
Zm00001d018987,maize1
Zm00001d038596,maize1
Zm00001d049178,maize1
Zm00001d052451,maize1
Zm00001d019226,maize1
Zm00001d029139,maize1
Zm00001d039371,maize1
Zm00001d017107,maize1
Zm00001d017113,maize1
Zm00001d053026,maize1
Zm00001d031730,maize1
Zm00001d038746,maize1
Zm00001d038748,maize1
Zm00001d001942,maize1
Zm00001d002057,maize1
Zm00001d015396,maize1
Zm00001d037716,maize1
Zm00001d033272,maize1
Zm00001d043653,maize1
Zm00001d014507,maize1
Zm00001d023450,maize1
Zm00001d020822,maize1
Zm00001d028752,maize1
Zm00001d028751,maize1
Zm00001d028915,maize1
Zm00001d028229,maize1
Zm00001d028230,maize1
Zm00001d045317,maize1
Zm00001d038316,maize1
Zm00001d001887,maize1
Zm00001d017526,maize1
Zm00001d042446,maize1
Zm00001d027706,maize1
Zm00001d014753,maize1
Zm00001d052956,maize1
Zm00001d014459,maize1
Zm00001d014463,maize1
Zm00001d002001,maize1
Zm00001d016503,maize1
Zm00001d030345,maize1
Zm00001d038997,maize1
Zm00001d027793,maize1
Zm00001d027795,maize1
Zm00001d027796,maize1
Zm00001d027797,maize1
Zm00001d016162,maize1
Zm00001d018321,maize1
Zm00001d046593,maize1
Zm00001d033854,maize1
Zm00001d022317,maize1
Zm00001d038143,maize1
Zm00001d018005,maize1
Zm00001d031962,maize1
Zm00001d000450,maize1
Zm00001d019200,maize1
Zm00001d022480,maize1
Zm00001d020273,maize1
Zm00001d002774,maize1
Zm00001d031100,maize1
Zm00001d032532,maize1
Zm00001d038373,maize1
Zm00001d043180,maize1
Zm00001d031419,maize1
Zm00001d003755,maize1
Zm00001d016619,maize1
Zm00001d042389,maize1
